institution,retraction_count,median_citations,primary_country
Fuzhou University of International Studies and Trade,41,4.0,China
Zhejiang Chinese Medical University,41,6.0,China
The First Affiliated Hospital of Wenzhou Medical University,41,7.0,China
Lebanese American University,41,15.0,China
Sejong University,40,9.5,South Korea
Tianjin University of Science and Technology,40,0.0,China
University of Manchester,40,14.0,United Kingdom
University of Sydney,40,13.0,Australia
Suez Canal University,40,18.5,Egypt
Harvard University,40,23.5,United States
North South University,40,31.5,Bangladesh
Zhengzhou University of Light Industry,40,1.0,China
Xi'an University of Technology,40,0.0,China
Chinese Academy of Medical Sciences and Peking Union Medical College,40,4.5,China
Amity University,40,12.0,India
The University of Hong Kong,40,18.5,China
Northwest University,40,2.0,China
The University of Tokyo,40,9.5,Japan
University of Babylon,40,1.0,Iraq
Guangxi Medical University,39,10.0,China
Hunan Normal University,39,2.0,China
McGill University,39,21.0,Canada
Weifang University,39,1.0,China
Kashan University of Medical Sciences,39,53.0,Iran
Anhui University of Finance and Economics,39,6.0,China
Xi’an University of Architecture and Technology,39,3.0,China
The First Affiliated Hospital of Guangxi Medical University,39,13.0,China
Sechenov First Moscow State Medical University,39,16.0,China
Kalasalingam Academy of Research and Education,39,8.0,India
Tianjin Medical University General Hospital,39,11.0,China
University of Maryland School of Medicine,39,28.0,United States
Zhejiang Normal University,39,3.0,China
University of Calgary,39,19.0,Canada
University of Cambridge,39,13.0,United Kingdom
Zhejiang Sci-Tech University,38,2.0,China
Government College University Faisalabad,38,18.0,China
Macau University of Science and Technology,38,4.0,China
Daffodil International University,38,22.0,Bangladesh
Shanxi Medical University,38,4.0,China
Arizona State University,38,25.5,United States
Xi’an University of Technology,38,3.0,China
Shaanxi University of Science and Technology,38,3.0,China
National University of Defense Technology,38,2.0,China
University of Minnesota,38,20.0,United States
School of Economics and Management,38,2.5,China
University of Leeds,38,19.5,United Kingdom
Korea University,38,8.5,South Korea
University of Messina,38,31.5,Italy
Brigham and Women’s Hospital,38,73.0,United States
University of Science and Technology,38,4.5,China
Yonsei University,38,27.0,South Korea
Beijing Technology and Business University,38,4.0,China
Massachusetts Institute of Technology,38,26.0,United States
Hunan Agricultural University,38,3.0,China
Yunnan University,38,3.0,China
Beni-Suef University,37,13.0,Egypt
Huzhou University,37,6.0,China
University of Engineering and Technology,37,6.0,Pakistan
University of Groningen,37,25.0,Netherlands
University of Petroleum and Energy Studies,37,21.0,India
The Second Affiliated Hospital of Harbin Medical University,37,13.0,China
Hangzhou Dianzi University,37,2.0,China
Yale University School of Medicine,37,33.0,United States
University of Belgrade,37,2.0,Serbia
Huazhong Normal University,37,0.0,China
Chinese Academy of Science,37,3.0,China
Tilburg University,37,17.0,Netherlands
Jiangxi Normal University,37,3.0,China
Shenyang University of Technology,37,1.0,China
University of Jinan,37,0.0,China
Hebei University of Science and Technology,36,0.0,China
Northwestern University,36,26.5,United States
University of Sargodha,36,11.0,Pakistan
Hunan International Economics University,36,2.0,China
University of Lahore,36,16.0,Pakistan
Affiliated Hospital of Nantong University,36,7.5,China
University of Dundee,36,22.5,United Kingdom
Texas A&M University,36,11.5,United States
COMSATS Institute of Information Technology,36,9.5,Pakistan
Tianjin Medical University Cancer Institute and Hospital,36,22.0,China
Karpagam Academy of Higher Education,35,7.0,India
Cancer Hospital of China Medical University,35,10.0,China
Presidency University,35,7.0,India
Wuhan University of China,35,0.0,China
Rajalakshmi Engineering College,35,6.0,India
Guizhou University,35,5.0,China
Bharathiar University,35,8.0,India
Linyi University,35,3.0,China
Jiangxi University of Science and Technology,35,1.0,China
Qingdao Municipal Hospital,35,8.0,China
University of Murcia,35,23.0,Spain
Xinjiang University,35,3.0,China
Banaras Hindu University,35,14.0,India
Yangtze University,35,2.0,China
Massachusetts General Hospital,34,33.5,United States
Central South University of Forestry and Technology,34,0.0,China
Nanjing University of Posts and Telecommunications,34,1.0,China
Universidad de la Costa,34,1.0,Colombia
Emory University School of Medicine,34,31.5,United States
International Islamic University,34,14.0,Pakistan
Nanyang Institute of Technology,34,2.0,China
Purdue University,34,6.0,United States
University of Queensland,34,3.0,Australia
University of Science and Technology Liaoning,34,2.0,China
Institute of Technology,34,12.5,Ethiopia
The University of Melbourne,34,17.5,Australia
Wenzhou University,34,3.0,China
University of Granada,34,20.0,Spain
Fujian Normal University,34,6.0,China
Chandigarh University,34,16.5,India
Fuzhou University,34,5.0,China
Jawaharlal Nehru Medical College,34,0.0,India
The University of Texas MD Anderson Cancer Center,34,31.5,United States
The First Affiliated Hospital of Jinan University,34,6.0,China
Chulalongkorn University,34,22.5,China
University of International Business and Economics,34,2.0,China
Anhui University of Science and Technology,34,1.0,China
Chongqing Normal University,34,3.0,China
Hilla University College,34,4.5,India
Nanchang Institute of Technology,34,2.0,China
Hanyang University,34,11.5,South Korea
Benha University,34,16.0,Egypt
University College of Engineering,34,6.0,India
Graphic Era Deemed to be University,34,17.0,Ethiopia
Chitkara University Institute of Engineering and Technology,34,18.5,India
China Pharmaceutical University,34,9.5,China
Qiqihar University,33,2.0,China
Liaocheng University,33,4.0,China
Xinxiang Medical University,33,4.0,China
Shandong University of Traditional Chinese Medicine,33,10.0,China
Zhejiang Wanli University,33,1.0,China
Tohoku University,33,11.0,Japan
University of Tabriz,33,7.0,Iran
Pusan National University,33,5.0,South Korea
Sungkyunkwan University,33,9.0,South Korea
North University of China,33,2.0,China
Isfahan University of Medical Sciences,33,11.0,Iran
Shanghai University of Finance and Economics,33,5.0,China
Henan University of Science and Technology,33,1.0,China
The University of Texas at Austin,33,11.0,United States
Harbin Normal University,33,1.0,China
Emory University,33,12.0,United States
Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology,33,8.0,India
University of Copenhagen,33,20.0,Denmark
Fujian Medical University,33,7.0,China
Fujian Agriculture and Forestry University,33,6.0,China
Chang’an University,33,4.0,China
University of Diyala,32,18.5,Iraq
University of Leicester,32,14.5,China
The University of Queensland,32,13.5,Australia
Pingdingshan University,32,4.0,China
Heilongjiang University of Chinese Medicine,32,6.0,China
Uppsala University,32,11.0,Sweden
Kyung Hee University,32,8.0,South Korea
Seoul National University College of Medicine,32,6.5,South Korea
Chongqing University of Posts and Telecommunications,32,2.5,China
University of Amsterdam,32,32.0,Netherlands
University of Palermo,32,9.0,Italy
Klinikum Ludwigshafen,32,19.5,Germany
Huaiyin Institute of Technology,32,3.5,China
Henan University of Economics and Law,32,5.5,China
Liaoning University,32,3.5,China
Xiangya Hospital of Central South University,32,19.0,China
National University of Science and Technology,32,6.5,India
Kangwon National University,32,1.5,South Korea
University of Veterinary and Animal Sciences,32,8.0,China
Sri Ramakrishna Engineering College,32,3.0,India
SNS College of Technology,32,9.5,India
Periyar University,32,19.0,India
National Taiwan University,32,15.0,Taiwan
Chiang Mai University,32,28.0,Thailand
China University of Petroleum,32,1.5,China
Jordan University of Science and Technology,32,2.0,Jordan
University of Chicago,31,9.0,United States
The Affiliated Hospital of Southwest Medical University,31,10.0,China
Xuzhou Medical University,31,11.0,China
The Third Hospital of Hebei Medical University,31,7.0,China
Henan Agricultural University,31,7.0,China
Linyi People's Hospital,31,18.0,China
University of Tongji,31,0.0,China
General Hospital of Ningxia Medical University,31,6.0,China
Tianjin University of Commerce,31,2.0,China
China Academy of Chinese Medical Sciences,31,9.0,China
University of Bristol,31,5.0,United Kingdom
Yeungnam University,31,8.0,South Korea
Hangzhou Normal University,31,4.0,China
Harbin Medical University Cancer Hospital,31,9.0,China
Al-Turath University College,31,13.0,Iraq
Jilin Agricultural University,31,3.0,China
Taibah University,31,3.0,Egypt
Shenyang Ligong University,30,0.0,China
Heilongjiang Bayi Agricultural University,30,2.0,China
Sapienza University of Rome,30,4.0,Italy
Goiano Federal Institute,30,25.5,Brazil
Huaiyin Normal University,30,4.5,China
East China Jiaotong University,30,1.0,China
Northern Border University,30,8.0,Egypt
Fergana Polytechnic Institute,30,1.0,Uzbekistan
Southwest University of Science and Technology,30,1.0,China
The Second Hospital of Shandong University,30,8.0,China
University of Oslo,30,9.5,Norway
Karolinska Institutet,30,7.0,Sweden
The First Affiliated Hospital of Bengbu Medical College,30,4.0,China
University of Bologna,30,10.5,Italy
Harbin University of Science and Technology,30,2.0,China
Linyi People’s Hospital,30,12.5,China
Hindusthan College of Engineering and Technology,30,7.5,India
Prince Sultan University,30,17.0,Pakistan
University of London,30,18.5,United Kingdom
University of Liverpool,30,38.5,United Kingdom
University of Nigeria,30,5.0,Nigeria
University of Oklahoma Health Sciences Center,30,43.0,United States
Manipal University Jaipur,30,9.0,India
Urmia University,30,8.5,Iran
East China Normal University,30,5.0,China
National Kaohsiung Marine University,29,39.0,Taiwan
Nanjing University of Information Science and Technology,29,4.0,China
University of Technology Sydney,29,16.0,Australia
Dalian Jiaotong University,29,1.0,China
Federal University of Uberlândia,29,22.0,Brazil
Zhengzhou University of Aeronautics,29,3.0,China
Bannari Amman Institute of Technology,29,7.0,India
Saveetha Dental College,29,10.0,India
Capital Normal University,29,1.0,China
University of Illinois College of Medicine at Peoria,29,46.0,United States
Thomas Jefferson University,29,26.0,United States
Beijing Sport University,29,4.0,China
Capital University of Economics and Business,29,2.0,China
Virginia Commonwealth University,29,37.0,United States
Guangdong Academy of Medical Sciences,29,13.0,China
Justus-Liebig-University Giessen,29,31.0,Germany
Federal University of Goiás,29,37.0,Brazil
Shenyang University,29,1.0,China
Karunya Institute of Technology and Sciences,29,6.0,India
Xihua University,29,2.0,China
Osaka University,29,14.0,Japan
East China University of Science and Technology,29,3.0,China
The Hong Kong Polytechnic University,29,9.0,China
Woosuk University,29,2.0,China
Lund University,29,11.0,Sweden
The University of Haripur,29,11.0,China
Western Caspian University,29,1.0,Azerbaijan
University of Tsukuba,29,9.0,Japan
Changchun University of Technology,29,1.0,China
Chinese PLA General Hospital,29,6.0,China
Cihan University-Erbil,29,16.0,China
Xi’an University,29,3.0,China
Shandong Normal University,29,2.0,China
Future University in Egypt,28,19.5,Egypt
China West Normal University,28,2.0,China
University of South Florida,28,22.0,United States
Shenyang Aerospace University,28,1.5,China
Suzhou University,28,2.5,China
Fuyang Normal University,28,3.0,China
Hazara University,28,17.5,China
Indian School of Mines,28,26.5,India
Northwest Normal University,28,3.0,China
China Jiliang University,28,1.0,China
Yunnan University of Finance and Economics,28,6.0,China
Guilan University of Medical Sciences,28,20.0,Iran
University of Delhi,28,17.0,India
Ningxia Medical University,28,9.0,China
University of Texas Southwestern Medical Center,28,47.0,United States
Bose Institute,28,45.0,India
Necmettin Erbakan University,28,0.0,Turkey
University of Southampton,28,18.5,United Kingdom
Changzhou University,28,1.5,China
Wayne State University School of Medicine,28,73.5,United States
University of Catania,28,24.5,Italy
Mater Dei Hospital,28,4.0,Malta
Lanzhou University Second Hospital,28,8.0,China
Zhongyuan University of Technology,28,1.0,China
Naval University of Engineering,28,0.0,China
Yong Loo Lin School of Medicine,28,29.0,Singapore
Indian Institute of Science,28,19.5,India
Henan Normal University,28,2.0,China
City University of Hong Kong,28,6.0,China
